symbol,ratio_sharpe
MU,0.3196289009625174
MSFT,0.5478469347374109
MAA,0.6799467859900346
MRNA,1.1921532781974045
MHK,0.40584090221937114
MOH,0.675276208630437
TAP,0.36526949132307784
MDLZ,0.5406408691312332
MPWR,0.8294541042738645
MNST,1.0631763549685005
MCO,0.7315016636338626
MS,0.3277655361034627
MOS,0.4224870196451805
MSI,0.32545005521283465
MSCI,0.8693803144928114
NDAQ,0.5913762485185593
NTAP,0.3215160019899373
NFLX,0.9002424642387598
NWL,0.18799403769215556
NEM,0.3637543561094389
NWSA,0.21926209265934218
NWS,0.22827202897125284
NEE,0.8502233181230173
NKE,0.7483008595944562
NI,0.6291702561338645
NDSN,0.6583673034394453
NSC,0.6794894298526091
NTRS,0.2814610325885682
NOC,0.8311644393215779
NCLH,0.18658886825212742
NRG,0.44222417404036507
NUE,0.6298177274125961
NVDA,0.8027917879267369
NVR,0.8637030297159836
NXPI,0.8095857991197007
ORLY,0.950236383037869
OXY,0.5511561973352076
ODFL,0.9621111513202569
OMC,0.35108169168994807
ON,0.4526615378982627
OKE,0.7044213155812432
ORCL,0.347001167681666
OGN,-0.3967366461978714
OTIS,1.0084504469978535
PCAR,0.6716947241517066
PKG,0.6934614861623406
PARA,0.2772483367996242
PH,0.6323684056006084
PAYX,0.4684781216101058
PAYC,1.096358546570109
PYPL,0.48832757286597916
PNR,0.4693454740829233
PEP,0.6507843662798866
PKI,0.4330637353571071
PFE,0.3042043773485165
PCG,0.3043794195465142
PM,0.5666436775108079
PSX,0.6386886501583783
PNW,0.5662869346680574
PXD,0.6282650195073358
PNC,0.43641228849470753
POOL,0.8590514443923203
PPG,0.535246956602159
PPL,0.540203685114059
PFG,0.47398528416008195
PG,0.6630189989212346
PGR,0.81973998400797
PLD,0.5635404472206238
PRU,0.448356651932775
PEG,0.6080710461854377
PTC,0.437164725181285
PSA,0.7625895328338883
PHM,0.5519620061754076
QRVO,0.3523996886166974
PWR,0.45457597322956983
QCOM,0.35138326534123454
DGX,0.665905924700293
RL,0.47866617225335645
RJF,0.6176519916289789
RTX,0.5323247095985955
O,0.6960738161020134
REG,0.5138582444568535
REGN,0.6401958552592553
RF,0.3435012786574712
RSG,0.7936075764470966
RMD,0.6887115833663745
RHI,0.41273985481412384
ROK,0.7010910580954564
ROL,0.864321756593293
ROP,0.7570794020067511
ROST,0.7728531760400318
RCL,0.41770855070936047
SPGI,0.6952725041852545
CRM,0.8077159627832259
SBAC,0.49587282734401344
SLB,0.2930876326198472
STX,0.5652888079287316
SEE,0.30944179361376223
SRE,0.7345402939880564
NOW,0.9989552283343137
SHW,0.8291295213152936
SPG,0.5665163246566651
SWKS,0.4362678269324885
SJM,0.7242190779097583
SNA,0.6498657410128574
SEDG,0.9766223825833152
SO,0.7636184846837409
LUV,0.326999280335514
SWK,0.4326856278270346
SBUX,0.67806283936062
STT,0.33564081851690675
STLD,0.7166234786297285
STE,0.6939990551312729
SYK,0.7063398041755705
SYF,0.34578918923860175
SNPS,0.614710252174042
SYY,0.5250759248199799
TMUS,0.4449458499073282
TROW,0.5276292056886539
TTWO,0.5549946134270027
TPR,0.6379405725038609
TRGP,0.6248032319372173
TGT,0.4690905410621681
TEL,0.5204422046173712
TDY,0.6620666651054072
TFX,0.5773676799478566
TER,0.3263121838341583
TSLA,1.1166880581613428
TXN,0.37986583852768313
TXT,0.3609324944091204
TMO,0.792707760484231
TJX,0.7745781940237894
TSCO,0.9589871421166755
TT,0.6446513074911074
TDG,1.067118216742559
TRV,0.539385312881088
TRMB,0.5483470753834186
TFC,0.32600712503242757
TYL,0.7123605112669157
TSN,0.4966333728275452
USB,0.34856099362598186
UDR,0.5789269911186617
ULTA,0.7470326981560249
UNP,0.7835166117358878
UAL,0.4097722047667538
UPS,0.4905900525076523
URI,0.6156811479757994
UNH,0.8898187090629365
UHS,0.5574173440177069
VLO,0.6672403580818829
VTR,0.7285124864275427
VRSN,0.3610429318113202
VRSK,0.8811827299919849
VZ,0.2506676779373454
VRTX,0.5549271888699002
VFC,0.48555513495197067
VTRS,0.1907622117141751
VICI,0.67506364244384
V,0.915330033537722
VMC,0.429034415836956
WAB,0.6179886895867517
WBA,0.27481163346188864
WMT,0.39147327921652725
WBD,0.3224179747870826
WM,0.743720943335417
WAT,0.4788178067116485
WEC,0.8421037791236657
WFC,0.36397888798686806
WELL,0.6706115626242463
WST,0.9290513825987591
WDC,0.48741202293296393
WRK,0.034178202184020685
WY,0.3417920402096301
WHR,0.3950730695772255
